#{"t_start": 1780674175.180513, "env_id": "LunarLander-v3"}
r,l,t
-109.767251,201,8.981527
40.312739,172,9.005411
45.906838,167,9.02841
-21.061348,240,9.061071
-263.321649,206,9.089462
-32.624879,154,9.110469
1.344824,147,9.130679
-73.590045,147,9.1508
-158.990902,379,9.202609
-38.834163,324,9.538812
27.852494,179,9.563674
-164.574495,178,9.588354
-135.221037,147,9.608689
-270.944568,291,9.648854
-167.398945,408,9.704669
-34.835939,348,9.752067
-79.388603,237,9.784633
16.23082,245,10.11056
64.315491,1000,10.253193
51.665683,1000,10.686969
38.7162,212,10.716382
-44.471106,387,10.769526
-102.689863,207,10.798184
-74.9883,218,10.82891
-26.689978,387,10.882489
6.069565,135,10.901474
-48.17626,174,10.925654
-19.042094,214,11.248221
99.420141,1000,11.3916
-82.520156,228,11.423582
14.792957,229,11.455414
-16.813409,274,11.492985
8.606504,352,11.835599
0.211423,290,11.876007
-9.697453,211,11.905246
-41.722503,165,11.928237
-33.654153,130,11.946259
-2.823736,233,11.978305
-28.316898,332,12.024273
-0.168394,131,12.042431
-36.298513,316,12.086049
-9.593188,1000,12.525235
38.686127,161,12.547795
-30.113003,426,12.606836
-41.286182,168,12.630273
9.387398,179,12.655425
6.811479,218,12.68563
-1.896896,210,13.01457
-44.73956,287,13.055519
41.621765,278,13.094733
20.300862,120,13.111684
129.393234,1000,13.255751
-1.198264,186,13.281938
25.858947,166,13.603969
52.018852,1000,13.744498
-64.132439,222,13.775201
-26.924564,1000,14.219098
18.655602,1000,14.360948
-54.372161,890,14.786487
81.19598,741,15.171366
-187.229889,561,15.25037
197.540217,542,15.329275
81.599726,1000,15.772493
75.424696,1000,15.918588
-194.933771,760,16.331177
-29.73703,342,16.379235
-119.995108,236,16.412025
-50.197928,283,16.451939
17.679397,1000,16.888576
15.390983,1000,17.028453
163.650196,558,17.106968
33.487687,1000,17.541575
-4.552899,1000,17.682033
-39.589782,453,18.039939
106.272587,1000,18.180829
102.196131,1000,18.614661
160.386362,1000,18.756148
-1.129941,253,18.791303
11.701551,305,18.833846
231.158354,614,19.216565
118.608708,1000,19.363574
18.40519,373,19.416254
79.084072,1000,19.853365
117.589264,1000,19.996857
141.689843,1000,20.433543
-172.715974,456,20.497342
-71.792709,279,20.535401
-72.875599,282,20.573997
108.752916,1000,21.008592
12.414784,267,21.045683
19.656497,1000,21.191156
-22.747908,271,21.521728
-1.015802,263,21.558128
117.98122,1000,21.704782
132.572282,1000,22.138921
139.329415,1000,22.27882
108.772445,1000,22.711765
60.821428,1000,22.862691
83.985305,1000,23.359737
131.971548,1000,23.498343
110.417516,1000,23.930341
66.580514,1000,24.070779
143.882685,918,24.495305
125.610052,1000,24.634809
82.607535,1000,25.074202
-33.484197,340,25.122003
-0.001171,298,25.163611
95.342134,1000,25.304635
92.139695,1000,25.746014
-36.16703,328,25.792064
69.059059,1000,25.938442
132.822293,1000,26.37362
-53.48846,1000,26.515331
201.484635,672,26.906077
-116.69942,523,26.979121
-1.748468,310,27.023233
66.281115,1000,27.465374
90.557619,1000,27.60422
-70.865309,440,27.665129
203.720763,619,28.04509
79.342142,1000,28.185095
-68.371733,438,28.246605
-89.571498,393,28.595968
-85.224867,429,28.656342
200.717195,572,28.737632
-46.99711,284,28.777512
89.164077,1000,29.218174
-93.847755,365,29.269808
88.848279,1000,29.921333
220.04477,509,30.290098
-6.693446,362,30.342192
195.98052,414,30.400914
201.793594,431,30.462119
-94.649916,291,30.503431
179.695833,593,30.888973
-22.072187,339,30.936937
41.527427,1000,31.080158
212.70043,421,31.139508
220.499682,505,31.506896
207.315407,368,31.557943
172.872024,572,31.637445
201.111589,524,31.709416
226.349414,353,32.050885
79.497167,1000,32.189368
161.925699,496,32.258086
-41.307088,328,32.596501
204.488982,435,32.657111
170.303679,483,32.72559
211.39519,439,32.785958
239.294891,401,32.84304
207.637353,396,33.190865
-10.060583,382,33.24364
246.498011,369,33.29422
154.940491,775,33.402406
-25.896491,363,33.452297
182.724144,679,33.838888
215.081914,481,33.904756
225.447906,458,33.968103
16.394234,292,34.007968
219.087241,490,34.368729
23.331552,303,34.411356
224.086219,369,34.462941
124.599708,794,34.572605
194.438435,657,34.956615
-14.600996,374,35.007883
192.022321,469,35.073003
237.963758,397,35.128844
252.095906,438,35.484032
9.700626,404,35.540844
-116.325,551,35.617025
205.649048,465,35.727856
224.580999,523,35.799993
200.677068,559,36.171918
-49.122005,299,36.212883
-88.04377,594,36.293675
173.119686,543,36.369457
-87.955372,345,36.710366
213.796168,417,36.768964
-31.084723,416,36.827177
111.035096,907,36.953659
-60.715773,495,37.318171
114.63221,857,37.438733
134.988816,784,37.547485
-30.855016,333,37.887027
-98.142223,515,37.957119
264.911272,538,38.031129
-58.906141,334,38.077199
10.800204,1000,38.508897
-71.685366,405,38.565092
-81.510219,1000,38.999614
182.797353,641,39.089905
-6.236857,199,39.117113
150.285966,657,39.20884
203.438703,609,39.59182
-61.82437,426,39.650052
-14.803229,184,39.675396
-92.626814,384,39.728219
233.900815,471,39.792347
125.527129,726,40.192825
229.417076,453,40.255409
220.447211,470,40.320676
199.407832,510,40.391943
-115.381056,578,40.771094
-70.932385,339,40.818576
224.758311,552,40.895892
-21.15964,374,40.947066
187.39703,509,41.016474
201.772255,419,41.371199
176.18796,956,41.506498
73.004287,1000,41.943548
-40.666258,277,41.981565
167.266117,482,42.047543
202.997471,389,42.100661
-37.769231,392,42.154056
198.289944,521,42.520976
-26.089209,178,42.545892
194.493449,522,42.61764
-141.621646,747,42.719495
151.73879,616,43.101102
228.601602,762,43.208293
-77.120981,369,43.259222
189.384919,478,43.326127
113.29421,932,43.752432
-38.171693,282,43.790892
-79.534111,1000,43.929377
145.95003,763,44.802349
-28.972077,319,44.846903
240.323258,419,44.904719
185.976397,524,44.977888
109.235955,825,45.388501
113.040492,524,45.462641
258.7213,739,45.56523
174.666828,592,45.94952
-7.453403,400,46.004844
189.233602,373,46.057504
183.656919,973,46.493479
166.833088,670,46.588013
193.084081,474,46.65281
-71.096068,317,46.696072
-52.431186,414,47.045579
170.418109,472,47.110735
213.094661,455,47.173639
213.759634,380,47.225914
229.287108,370,47.276633
257.697262,383,47.623044
-37.047164,313,47.666247
199.280533,389,47.719572
205.785175,467,47.783728
-39.529738,316,47.827788
236.498776,374,47.879449
115.222027,465,48.289347
-87.967832,348,48.337779
-81.034747,387,48.390807
-34.696108,314,48.434413
-118.282091,438,48.494848
-22.740038,278,48.826516
198.786232,387,48.880341
201.011398,404,48.935791
168.835735,527,49.009184
204.437367,460,49.072106
84.610879,1000,49.505177
99.259234,624,49.592393
-41.07755,356,49.641628
-43.738651,338,49.980924
-35.488224,394,50.034939
148.88404,698,50.134541
155.737255,703,50.232874
-64.029213,327,50.570561
-45.199824,377,50.622705
206.4768,515,50.693083
184.404287,545,50.767659
177.111202,517,51.130793
-81.510973,347,51.178138
-65.838099,317,51.220766
-63.02603,1000,51.358188
160.89432,436,51.71065
-46.692924,300,51.75168
-135.877451,332,51.796906
115.986599,714,51.896677
-55.588608,248,51.930659
-43.771506,313,52.264361
210.612749,500,52.334836
53.827849,1000,52.475371
193.4791,461,52.538603
193.393747,449,52.891123
-44.921924,1000,53.027594
-89.556169,495,53.096646
32.921252,1000,53.528266
199.700591,484,53.594855
187.542938,466,53.660177
89.642429,1000,54.094434
189.715324,342,54.14138
170.599887,750,54.244542
194.37945,475,54.601745
211.190703,402,54.656527
-146.314986,298,54.697524
187.406471,484,54.765699
-48.274077,281,54.805951
175.591705,511,55.171915
-50.870928,415,55.232208
-75.525442,317,55.276957
21.938982,1000,55.423273
188.170168,455,55.784208
230.917543,481,55.850523
158.546602,506,55.920361
-91.648841,450,55.981339
-162.650908,386,56.327316
178.146837,723,56.426716
60.941546,1000,56.563855
-35.859168,230,56.595293
-41.477581,290,56.950091
127.41227,593,57.035138
-58.450603,153,57.05688
171.698476,773,57.166658
-41.866195,262,57.512423
172.597674,483,57.580936
207.42054,430,57.642189
143.882169,598,57.724522
-105.320681,574,58.100047
193.893528,393,58.154612
219.535766,456,58.217981
-22.056608,357,58.267679
-143.880199,374,58.320491
112.360899,476,58.684608
227.447156,352,58.73496
212.720744,467,58.80221
-124.719288,458,58.869367
205.614725,679,59.323242
161.388373,445,59.682096
185.995878,445,59.745439
138.185238,637,59.835612
0.214418,1000,60.27732
139.955133,607,60.363659
212.199939,450,60.426555
253.0069,377,60.478889
-206.684124,995,60.911641
-106.147727,490,60.97933
-94.458349,357,61.028541
123.55149,853,61.512906
209.444366,518,61.586998
173.53444,494,61.658382
191.695339,337,61.70572
-65.907923,311,62.045571
-44.258651,287,62.08579
193.619728,460,62.14861
-55.647007,341,62.195142
135.0123,484,62.260971
-75.004269,251,62.29499
-109.79448,558,62.665098
-92.923661,296,62.706484
-41.793035,374,62.7587
141.513927,539,62.836305
37.305679,1000,63.274178
-73.31421,284,63.314566
8.63828,348,63.36272
-51.545933,192,63.389159
-161.290894,496,63.45879
48.227294,1000,63.8957
-54.427676,273,63.933229
-95.837824,340,63.979707
-62.118308,409,64.03546
146.929784,442,64.388842
192.507325,453,64.451261
173.115028,422,64.510043
238.592391,425,64.567851
173.215686,500,64.927534
-12.75378,357,64.976272
-72.72431,167,64.999209
71.422581,1000,65.138771
-55.211005,395,65.192828
217.140735,642,65.574217
210.193679,430,65.634496
-39.920856,221,65.664911
-66.256165,303,65.706331
-36.755621,353,65.754511
-66.086107,404,66.101113
203.768283,434,66.160609
-55.117777,324,66.204727
209.506472,402,66.259415
-70.41898,416,66.316913
217.452685,404,66.665557
156.292641,588,66.749929
-29.471065,278,66.788694
-75.36689,415,66.846791
-34.285322,287,66.886387
-33.679438,146,66.906502
170.02331,969,67.334027
181.86625,367,67.384854
-56.798224,375,67.437079
219.484213,409,67.494469
204.619394,438,67.846801
221.17003,394,67.902025
134.219771,581,67.984286
200.093282,382,68.036244
-89.120121,444,68.391948
-68.384117,256,68.427284
-79.090467,407,68.48307
-59.871533,406,68.538617
206.754961,427,68.597041
159.894891,588,68.97287
217.518127,369,69.023752
-137.218684,264,69.060102
167.877893,414,69.1167
216.781532,419,69.174803
113.573898,469,69.240766
162.235257,414,69.598241
-45.119307,242,69.631552
184.00188,382,69.683718
-65.653645,426,69.741614
-32.1482,276,69.779192
92.551315,553,70.150424
56.937869,975,70.284953
-36.010197,380,70.337706
60.409758,1000,70.770312
174.947722,348,70.819075
-73.316862,490,70.885906
-59.104812,346,70.93289
-95.200922,232,70.964623
-46.824812,222,71.290779
-47.102123,241,71.324892
232.254587,414,71.382568
149.587848,383,71.435498
-50.451301,225,71.466015
-22.548847,230,71.497932
135.092585,414,71.555607
147.067311,391,71.907456
135.124481,385,71.961022
-52.753387,211,71.989894
171.104176,600,72.071927
223.552008,388,72.124806
231.684712,541,72.497154
153.925208,762,72.604559
-28.87143,153,72.625777
-47.868231,285,72.665227
-58.105952,345,72.713076
205.477018,412,73.062687
216.409904,386,73.115415
180.576212,356,73.163994
146.654468,457,73.227216
180.027019,466,73.291316
218.35766,419,73.927453
188.185019,405,73.983942
184.490198,513,74.056074
127.777812,959,74.488372
-16.265353,250,74.52358
238.340994,376,74.576083
200.332445,455,74.639457
232.631193,423,74.697716
218.426371,485,75.06579
-53.473973,201,75.094399
172.449167,377,75.146909
-88.446618,417,75.20423
-36.216221,236,75.23752
-79.776923,279,75.27568
-21.437604,242,75.309697
182.130819,347,75.652063
-23.4746,274,75.69041
187.691026,468,75.757985
249.487424,370,75.810403
191.305299,415,75.868295
-27.165071,360,76.210228
-56.01602,230,76.242253
193.517262,406,76.298305
230.005498,391,76.35272
-36.482709,331,76.398256
227.67576,429,76.457437
227.489056,407,76.804718
200.68194,378,76.857534
141.600354,654,76.950423
149.62301,395,77.005598
-48.213262,173,77.029443
255.12553,390,77.376203
-84.079801,235,77.409286
227.263979,372,77.461444
174.888144,564,77.540831
198.685509,418,77.597525
181.083016,434,77.950604
-23.754323,372,78.001911
-44.808154,290,78.041709
234.607364,337,78.087819
142.309593,506,78.157057
-40.001289,370,78.207429
161.656812,450,78.563026
-78.632648,265,78.600005
195.666299,332,78.645989
177.814532,397,78.701211
222.486626,343,78.748237
2.626866,271,78.785565
190.796633,550,79.152753
-78.501501,324,79.196943
179.4439,438,79.256713
-62.364761,332,79.302539
181.182644,288,79.342789
45.027586,1000,79.780424
233.849827,356,79.830239
238.432437,419,79.887942
245.93351,351,79.936147
-48.302648,242,80.262248
-28.123131,281,80.301545
236.680909,396,80.356267
-136.813336,732,80.457904
67.657554,1000,80.892109
102.370732,918,81.02138
219.426013,376,81.073111
140.456851,406,81.423469
160.077988,580,81.503699
184.559271,416,81.561488
125.563404,625,81.650146
-86.214398,254,81.977518
203.019742,519,82.049157
215.631075,335,82.095278
171.269162,519,82.167003
211.697338,395,82.220372
120.184295,420,82.570905
183.690531,385,82.625629
-35.574544,262,82.662496
210.616652,496,82.732316
225.746275,377,82.785073
205.734666,352,82.835829
169.614149,443,83.192614
-92.916751,543,83.266713
115.1537,662,83.359292
-70.850786,274,83.397265
213.573485,511,83.759547
210.587663,345,83.807812
-15.669391,196,83.835396
-30.724805,177,83.860145
207.84649,350,83.908327
208.128392,493,83.975592
181.708795,367,84.319161
230.90506,401,84.374579
-21.393916,274,84.412386
197.227735,479,84.47839
-27.821367,342,84.525329
189.849313,426,84.875193
-75.681436,317,84.918554
-64.011735,363,84.968175
211.705746,391,85.022459
157.86183,424,85.081232
-76.898023,414,85.137856
204.798333,442,85.490047
-41.733898,271,85.52763
213.281011,504,85.597511
216.45553,354,85.646119
-44.421956,212,85.675303
212.219435,358,86.017847
9.985808,224,86.049759
180.902312,406,86.106743
227.049636,363,86.157025
240.470976,362,86.207205
193.633723,378,86.259602
226.667697,353,86.601023
249.682154,529,86.674812
140.591982,491,86.744179
164.532169,628,86.83168
208.513853,425,87.182056
-23.034519,192,87.208694
195.555474,502,87.279209
-56.25098,361,87.329238
94.628912,1000,87.760777
214.978746,332,87.807114
196.314589,863,88.228894
-0.316924,350,88.27826
-73.012781,373,88.330609
221.743881,376,88.675569
131.544935,466,88.743207
177.965864,399,88.800636
231.962124,415,88.858472
-43.834025,331,88.904456
178.845871,531,89.27938
92.715438,1000,89.421895
153.906421,464,89.487412
191.85025,345,89.830422
196.688247,427,89.889743
-70.139906,410,89.946489
163.389298,393,90.001156
228.232422,385,90.054516
224.131753,369,90.437619
-57.456724,254,90.47801
170.450995,659,90.571544
243.960369,725,90.676373
-20.255861,376,91.02547
227.416357,335,91.073132
179.562739,451,91.139428
237.65093,374,91.19408
177.701681,447,91.257807
240.61689,399,91.609505
90.755023,1000,91.815373
242.57177,428,91.878733
-15.667465,266,91.917927
-45.727847,284,92.284725
80.101745,1000,92.43159
207.692252,357,92.481915
186.907692,474,92.547837
-20.547427,394,92.914971
77.40313,1000,93.058432
-11.220312,202,93.08678
239.315164,394,93.14123
136.986208,545,93.540357
211.730042,366,93.592796
-15.202288,262,93.631052
-49.684762,269,93.669992
-12.958597,265,93.707341
0.342188,306,93.749867
232.525885,388,94.099396
243.408708,392,94.155228
-49.261177,323,94.201063
211.392539,353,94.251019
238.679534,463,94.31705
-35.529649,494,94.680948
200.144472,406,94.738172
142.755522,460,94.812542
185.329083,415,94.88791
235.417662,472,94.964432
51.25307,1000,95.55346
203.3104,409,95.612662
198.270364,372,95.665183
246.683403,358,95.735713
269.310093,466,96.183643
211.580786,300,96.236266
-94.028373,316,96.295848
201.879263,381,96.404466
247.61477,420,96.544558
-42.12623,305,97.025244
189.571134,381,97.09451
21.962339,1000,97.296204
122.758238,826,97.746432
188.007855,390,97.80063
146.934474,462,97.864417
-57.713709,245,97.898568
240.804104,410,97.955651
241.63947,377,98.309027
206.178408,384,98.36233
207.251352,371,98.415257
243.200305,405,98.472252
-7.353109,332,98.518604
-47.493535,293,98.559497
-26.985478,211,98.588812
-18.798371,190,98.914268
159.986083,404,98.971141
180.555313,355,99.022513
211.481703,349,99.071035
-45.455931,342,99.120674
235.594794,393,99.182293
238.20193,368,99.57644
227.10779,366,99.62769
210.602744,366,99.687269
173.907022,401,99.746492
267.635218,344,99.796299
225.722868,400,100.161536
-49.714388,214,100.191059
175.397448,373,100.242083
-35.193774,349,100.28954
-164.758114,313,100.334318
255.158784,453,100.399898
-1.691104,300,100.743245
224.878447,402,100.798983
244.207598,389,100.854711
223.961932,381,100.909064
234.786221,375,100.961368
232.975362,402,101.018066
215.637538,332,101.374739
213.415294,417,101.439078
186.142128,591,101.525599
5.642968,313,101.574241
-20.663994,333,101.622293
227.241437,418,102.02866
193.893242,406,102.090769
-49.048603,252,102.129393
132.327259,1000,102.290535
228.979574,439,102.763936
250.746196,356,102.814891
213.813249,334,102.86346
233.27281,345,102.9116
181.218296,461,102.977375
-22.16109,241,103.308802
-5.810596,358,103.360046
-25.398753,272,103.398089
202.798011,397,103.454218
202.609865,355,103.504389
257.192743,362,103.554537
-25.268547,365,104.220372
224.916044,465,104.285003
186.679189,594,104.369103
212.441395,457,104.433612
-43.110608,347,104.482315
243.361933,346,104.828548
237.703676,346,104.877596
231.359872,350,104.927575
158.113173,944,105.060903
137.668303,401,105.414865
179.741358,465,105.479775
206.437766,382,105.532438
106.224051,1000,105.968953
250.6118,335,106.016066
143.797616,566,106.095766
-36.18148,265,106.13233
30.382269,274,106.170555
3.816711,314,106.213637
143.386223,703,106.620694
224.84584,370,106.671943
-29.980509,291,106.712237
147.469596,457,106.776302
224.072881,350,106.825429
178.228643,510,107.190337
-11.344745,270,107.2276
-52.682224,296,107.268223
22.994756,1000,107.408615
54.664739,1000,107.842424
219.574382,417,107.900867
274.109069,529,107.975768
221.971772,390,108.324899
175.340554,309,108.368464
-22.232584,374,108.420328
-32.244624,293,108.460945
248.620451,343,108.508228
207.29267,373,108.559876
210.383647,422,108.913033
143.962813,398,108.968812
241.765352,399,109.024433
225.334509,354,109.073251
158.569063,347,109.121837
81.081224,573,109.496876
184.823635,445,109.559927
108.874922,1000,109.70166
229.774847,339,110.043601
214.991016,880,110.169227
240.919557,343,110.216953
4.937428,190,110.243462
190.449174,453,110.307619
81.654562,1000,110.741948
-18.549739,329,110.787185
232.607118,500,110.857461
-71.159082,236,110.890528
203.579192,920,111.314073
222.849605,383,111.367769
173.363043,424,111.427331
189.268594,859,111.844424
-42.044171,222,111.87538
178.237203,425,111.93596
241.554074,431,111.997663
207.610319,370,112.048819
210.531039,646,112.433911
104.661498,1000,112.574497
239.791261,370,112.625838
184.287976,466,112.986013
-9.157162,248,113.021148
214.782644,449,113.083713
240.339944,431,113.144693
-29.510734,240,113.178662
243.563626,338,113.226313
179.19186,347,113.573985
-35.408244,325,113.618893
-21.668972,322,113.663147
26.192944,239,113.696199
238.40689,451,113.758568
92.672405,1000,114.196239
238.677413,339,114.243315
225.291846,361,114.293271
223.764465,386,114.347622
214.833794,418,114.702535
222.752525,381,114.755038
-7.870825,264,114.791338
-47.310399,277,114.829551
-2.984467,369,114.88026
224.777291,357,114.929147
211.655102,548,115.297125
226.397216,397,115.353554
235.335515,340,115.400352
237.160141,366,115.450618
