#{"t_start": 1780643578.868476, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,14.538942
-200.0,200,14.564245
-200.0,200,14.589024
-200.0,200,14.917666
-200.0,200,14.942432
-200.0,200,14.9672
-200.0,200,14.991765
-200.0,200,15.016464
-200.0,200,15.040978
-200.0,200,15.065026
-200.0,200,15.088912
-200.0,200,15.113027
-200.0,200,15.137418
-200.0,200,15.466224
-200.0,200,15.490734
-200.0,200,15.515296
-200.0,200,15.540041
-200.0,200,15.564592
-200.0,200,15.58925
-200.0,200,15.613727
-200.0,200,15.638129
-200.0,200,15.66265
-200.0,200,15.687104
-200.0,200,16.012885
-200.0,200,16.037333
-200.0,200,16.061667
-200.0,200,16.086352
-200.0,200,16.110956
-200.0,200,16.135398
-200.0,200,16.159849
-200.0,200,16.184182
-200.0,200,16.208591
-200.0,200,16.232917
-200.0,200,16.557375
-200.0,200,16.582034
-200.0,200,16.60666
-200.0,200,16.631122
-200.0,200,16.74526
-200.0,200,16.770631
-200.0,200,16.795073
-200.0,200,16.819427
-200.0,200,16.844553
-200.0,200,16.870093
-200.0,200,16.895098
-200.0,200,17.220205
-200.0,200,17.244612
-200.0,200,17.269383
-200.0,200,17.293845
-200.0,200,17.317968
-200.0,200,17.342161
-200.0,200,17.367193
-200.0,200,17.391517
-200.0,200,17.416575
-200.0,200,17.440933
-200.0,200,17.768242
-200.0,200,17.792788
-200.0,200,17.817964
-200.0,200,17.8426
-200.0,200,17.867516
-200.0,200,17.89219
-200.0,200,17.916902
-200.0,200,17.941623
-200.0,200,17.966119
-200.0,200,17.990776
-200.0,200,18.316609
-200.0,200,18.34094
-200.0,200,18.365935
-200.0,200,18.390349
-200.0,200,18.414866
-200.0,200,18.439321
-200.0,200,18.463407
-200.0,200,18.487695
-200.0,200,18.511837
-200.0,200,18.536106
-200.0,200,18.860893
-200.0,200,18.88572
-200.0,200,18.909894
-200.0,200,18.934704
-200.0,200,18.959022
-200.0,200,18.983397
-200.0,200,19.00783
-200.0,200,19.032037
-200.0,200,19.056258
-200.0,200,19.080534
-200.0,200,19.10465
-200.0,200,19.444761
-200.0,200,19.470637
-200.0,200,19.599618
-200.0,200,19.62447
-200.0,200,19.649064
-200.0,200,19.673462
-200.0,200,19.69875
-200.0,200,19.723392
-200.0,200,19.748034
-200.0,200,19.772635
-200.0,200,20.100562
-200.0,200,20.125062
-200.0,200,20.149194
-200.0,200,20.173245
-200.0,200,20.198128
-200.0,200,20.222637
-200.0,200,20.246853
-200.0,200,20.271269
-200.0,200,20.295466
-200.0,200,20.31974
-200.0,200,20.646291
-200.0,200,20.67097
-200.0,200,20.695714
-200.0,200,20.720171
-200.0,200,20.744523
-200.0,200,20.769402
-200.0,200,20.793768
-200.0,200,20.818135
-200.0,200,20.8427
-200.0,200,20.890226
-200.0,200,21.218786
-200.0,200,21.243169
-200.0,200,21.267139
-200.0,200,21.291262
-200.0,200,21.315391
-200.0,200,21.339419
-200.0,200,21.363852
-200.0,200,21.388425
-200.0,200,21.412999
-200.0,200,21.437335
-200.0,200,21.461584
-200.0,200,21.786323
-200.0,200,21.810386
-200.0,200,21.834416
-200.0,200,21.858876
-200.0,200,21.883199
-200.0,200,21.907222
-200.0,200,21.931136
-200.0,200,21.955608
-200.0,200,21.980327
-200.0,200,22.004929
-200.0,200,22.327936
-200.0,200,22.444523
-200.0,200,22.469248
-200.0,200,22.493762
-200.0,200,22.518646
-200.0,200,22.543479
-200.0,200,22.567822
-200.0,200,22.592109
-200.0,200,22.616266
-200.0,200,22.640492
-200.0,200,22.966612
-200.0,200,22.990728
-200.0,200,23.014925
-200.0,200,23.039487
-200.0,200,23.084725
-200.0,200,23.130736
-200.0,200,23.155399
-200.0,200,23.180186
-200.0,200,23.204936
-200.0,200,23.229693
-200.0,200,23.55814
-200.0,200,23.582639
-200.0,200,23.607057
-200.0,200,23.631476
-200.0,200,23.655556
-200.0,200,23.679797
-200.0,200,23.704353
-200.0,200,23.728336
-200.0,200,23.753023
-200.0,200,23.777282
-200.0,200,23.801435
-200.0,200,24.122238
-200.0,200,24.147122
-200.0,200,24.171232
-200.0,200,24.195298
-200.0,200,24.219331
-200.0,200,24.243296
-200.0,200,24.267188
