#{"t_start": 1780643299.747448, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,15.354011
-200.0,200,15.378424
-200.0,200,15.40288
-200.0,200,15.730051
-200.0,200,15.755083
-200.0,200,15.779492
-200.0,200,15.804167
-200.0,200,15.82878
-200.0,200,15.85334
-200.0,200,15.877702
-200.0,200,15.902496
-200.0,200,15.927031
-200.0,200,15.951728
-200.0,200,16.278279
-200.0,200,16.304853
-200.0,200,16.331384
-200.0,200,16.356183
-200.0,200,16.380614
-200.0,200,16.405183
-200.0,200,16.42956
-200.0,200,16.453842
-200.0,200,16.479249
-200.0,200,16.50435
-200.0,200,16.829302
-200.0,200,16.853655
-200.0,200,16.877997
-200.0,200,16.902515
-200.0,200,16.92692
-200.0,200,16.951344
-200.0,200,16.976028
-200.0,200,17.000353
-200.0,200,17.024704
-200.0,200,17.049379
-200.0,200,17.376636
-200.0,200,17.4015
-200.0,200,17.426174
-200.0,200,17.452179
-200.0,200,17.568997
-200.0,200,17.593664
-200.0,200,17.618902
-200.0,200,17.64408
-200.0,200,17.668844
-200.0,200,17.693496
-200.0,200,17.718089
-200.0,200,18.044253
-200.0,200,18.069605
-200.0,200,18.094389
-200.0,200,18.119048
-200.0,200,18.143592
-200.0,200,18.168006
-200.0,200,18.192386
-200.0,200,18.216206
-200.0,200,18.240447
-200.0,200,18.264384
-200.0,200,18.59117
-200.0,200,18.61625
-200.0,200,18.641702
-200.0,200,18.665573
-200.0,200,18.690881
-200.0,200,18.715237
-200.0,200,18.739206
-200.0,200,18.763866
-200.0,200,18.787654
-200.0,200,18.811962
-200.0,200,19.138749
-200.0,200,19.163477
-200.0,200,19.187958
-200.0,200,19.212515
-200.0,200,19.236579
-200.0,200,19.260475
-200.0,200,19.284177
-200.0,200,19.307885
-200.0,200,19.331747
-200.0,200,19.355553
-200.0,200,19.681807
-200.0,200,19.706554
-200.0,200,19.730746
-200.0,200,19.754821
-200.0,200,19.778833
-200.0,200,19.802981
-200.0,200,19.827186
-200.0,200,19.851158
-200.0,200,19.875204
-200.0,200,19.899342
-200.0,200,19.923319
-200.0,200,20.250285
-200.0,200,20.274687
-200.0,200,20.392043
-200.0,200,20.417064
-200.0,200,20.442444
-200.0,200,20.467423
-200.0,200,20.493037
-200.0,200,20.517406
-200.0,200,20.541526
-200.0,200,20.565815
-200.0,200,20.891594
-200.0,200,20.91588
-200.0,200,20.939974
-200.0,200,20.963519
-200.0,200,20.988233
-200.0,200,21.012542
-200.0,200,21.036498
-200.0,200,21.059958
-200.0,200,21.083773
-200.0,200,21.108236
-200.0,200,21.435848
-200.0,200,21.460876
-200.0,200,21.485588
-200.0,200,21.510246
-200.0,200,21.5341
-200.0,200,21.558442
-200.0,200,21.581911
-200.0,200,21.606275
-200.0,200,21.630748
-200.0,200,21.655184
-200.0,200,21.98238
-200.0,200,22.006744
-200.0,200,22.030322
-200.0,200,22.053894
-200.0,200,22.077227
-200.0,200,22.100763
-200.0,200,22.124159
-200.0,200,22.147744
-200.0,200,22.171234
-200.0,200,22.194709
-200.0,200,22.218085
-200.0,200,22.564399
-200.0,200,22.589071
-200.0,200,22.613614
-200.0,200,22.638115
-200.0,200,22.662542
-200.0,200,22.687035
-200.0,200,22.711429
-200.0,200,22.735821
-200.0,200,22.760169
-200.0,200,22.784479
-200.0,200,23.111684
-200.0,200,23.22787
-200.0,200,23.252357
-200.0,200,23.27665
-200.0,200,23.301486
-200.0,200,23.326651
-200.0,200,23.351033
-200.0,200,23.375692
-200.0,200,23.400104
-200.0,200,23.424473
-200.0,200,23.757211
-200.0,200,23.78184
-200.0,200,23.806263
-200.0,200,23.830562
-200.0,200,23.854716
-200.0,200,23.879468
-200.0,200,23.904142
-200.0,200,23.928585
-200.0,200,23.953255
-200.0,200,23.978076
-200.0,200,24.305041
-200.0,200,24.330069
-200.0,200,24.354847
-200.0,200,24.379386
-200.0,200,24.403026
-200.0,200,24.427117
-200.0,200,24.451661
-200.0,200,24.476573
-200.0,200,24.501261
-200.0,200,24.525829
-200.0,200,24.549119
-200.0,200,24.875689
-200.0,200,24.900074
-200.0,200,24.92411
-200.0,200,24.94832
-200.0,200,24.972551
-200.0,200,24.997386
-200.0,200,25.021332
-200.0,200,25.04589
-200.0,200,25.070231
-200.0,200,25.094492
-200.0,200,25.416845
-200.0,200,25.441022
-200.0,200,25.465088
-200.0,200,25.490006
-200.0,200,25.514439
-200.0,200,25.538705
-200.0,200,25.563471
-200.0,200,25.587992
-200.0,200,25.612562
-200.0,200,25.637059
-200.0,200,26.062221
-200.0,200,26.086799
-200.0,200,26.111703
-200.0,200,26.136003
-200.0,200,26.160202
-200.0,200,26.184354
-200.0,200,26.208503
-200.0,200,26.232668
-200.0,200,26.258467
