#{"t_start": 1780643441.363722, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,14.403018
-200.0,200,14.426896
-200.0,200,14.451405
-200.0,200,14.775329
-200.0,200,14.799334
-200.0,200,14.823391
-200.0,200,14.84741
-200.0,200,14.872376
-200.0,200,14.896846
-200.0,200,14.921049
-200.0,200,14.945351
-200.0,200,14.969448
-200.0,200,14.99351
-200.0,200,15.317279
-200.0,200,15.34482
-200.0,200,15.371147
-200.0,200,15.396521
-200.0,200,15.421177
-200.0,200,15.445628
-182.0,182,15.468337
-200.0,200,15.492901
-200.0,200,15.517071
-200.0,200,15.541314
-200.0,200,15.872228
-200.0,200,15.89654
-200.0,200,15.920826
-200.0,200,15.94491
-200.0,200,15.968791
-200.0,200,15.993114
-200.0,200,16.017741
-200.0,200,16.041755
-200.0,200,16.066096
-200.0,200,16.090554
-200.0,200,16.114813
-200.0,200,16.438631
-200.0,200,16.463179
-200.0,200,16.487536
-200.0,200,16.601854
-200.0,200,16.626031
-200.0,200,16.649929
-200.0,200,16.674658
-200.0,200,16.698647
-200.0,200,16.722656
-200.0,200,16.746878
-200.0,200,17.07661
-200.0,200,17.100671
-200.0,200,17.124569
-200.0,200,17.148297
-200.0,200,17.172142
-200.0,200,17.195971
-200.0,200,17.219793
-200.0,200,17.243504
-200.0,200,17.267339
-200.0,200,17.290897
-165.0,165,17.60992
-200.0,200,17.634345
-200.0,200,17.65889
-171.0,171,17.679758
-200.0,200,17.703799
-200.0,200,17.727912
-190.0,190,17.750637
-200.0,200,17.774468
-200.0,200,17.7984
-161.0,161,17.817697
-200.0,200,17.841495
-200.0,200,18.164883
-169.0,169,18.185743
-172.0,172,18.206372
-200.0,200,18.230158
-200.0,200,18.25402
-176.0,176,18.275057
-200.0,200,18.298778
-200.0,200,18.322684
-178.0,178,18.343967
-200.0,200,18.368189
-165.0,165,18.388063
-200.0,200,18.711985
-173.0,173,18.732955
-168.0,168,18.753051
-164.0,164,18.772732
-200.0,200,18.796599
-200.0,200,18.820369
-200.0,200,18.844162
-162.0,162,18.863999
-200.0,200,18.888508
-200.0,200,18.91279
-200.0,200,18.936854
-200.0,200,19.259898
-157.0,157,19.278509
-200.0,200,19.379568
-169.0,169,19.400304
-200.0,200,19.424159
-170.0,170,19.44448
-200.0,200,19.468194
-200.0,200,19.492153
-175.0,175,19.51296
-200.0,200,19.536549
-162.0,162,19.555824
-198.0,198,19.878905
-200.0,200,19.903248
-166.0,166,19.923545
-179.0,179,19.945154
-160.0,160,19.964301
-200.0,200,19.988297
